시간,유저코드,카테고리,제품코드,가격,행동
2022-06-01 00:04:01,u512432743,식품,p48040560,160.57,V
2022-06-01 00:04:14,u514173771,패션,p13102925,529.23,V
2022-06-01 00:04:18,u515431690,식품,p22300003,71.09,V
2022-06-01 00:04:21,u561564372,패션,p26400277,143.38,V
2022-06-01 00:04:26,u557673447,컴퓨터,p10048870,128.68,V
2022-06-01 00:04:38,u560134869,패션,p13200941,257.15,V
2022-06-01 00:04:38,u564749784,식품,p28101332,27.54,V
2022-06-01 00:04:39,u516316320,식품,p10900348,118.1,V
2022-06-01 00:04:52,u513193182,식품,p28005940,298.6,V
2022-06-01 00:04:54,u513696396,자동차,p12712914,86.23,V
2022-06-01 00:04:59,u557673447,자동차,p10050040,231.16,V
2022-06-01 00:05:02,u561564372,자동차,p26403321,247.37,V
2022-06-01 00:05:08,u520543848,컴퓨터,p52900016,11.39,V
2022-06-01 00:05:14,u526545883,자동차,p15600023,353.93,V
2022-06-01 00:05:29,u514681650,식품,p18300825,7.44,V
2022-06-01 00:05:33,u512398332,식품,p26204584,552.05,V
2022-06-01 00:05:43,u545001597,패션,p10047410,189.97,V
2022-06-01 00:05:43,u563025816,패션,p47005110,231.63,V
2022-06-01 00:05:44,u514495194,자동차,p43002910,26.26,V
2022-06-01 00:05:44,u513696396,식품,p12718921,74.26,V
2022-06-01 00:05:49,u557673447,식품,p10051050,1348.61,V
2022-06-01 00:05:56,u564877869,컴퓨터,p28004490,231.0,V
2022-06-01 00:05:57,u565855130,식품,p10051560,321.76,V
2022-06-01 00:05:59,u566284580,자동차,p57007550,64.35,V
2022-06-01 00:06:01,u564877869,식품,p28005050,203.29,V
2022-06-01 00:06:04,u543878700,식품,p29502558,21.24,V
2022-06-01 00:06:07,u550193582,컴퓨터,p15201319,68.7,V
2022-06-01 00:06:17,u516853100,컴퓨터,p37001270,188.14,V
2022-06-01 00:06:19,u551693990,식품,p36009900,208.32,V
2022-06-01 00:06:20,u557673447,패션,p10051350,1665.36,V
2022-06-01 00:06:22,u557337461,식품,p15100039,746.48,V
2022-06-01 00:06:25,u524639276,식품,p28300519,73.1,V
2022-06-01 00:06:31,u514495194,컴퓨터,p43002300,28.54,V
2022-06-01 00:06:38,u516853100,자동차,p37005800,334.39,V
2022-06-01 00:06:40,u555329291,컴퓨터,p26205357,119.18,V
2022-06-01 00:06:47,u541920131,식품,p12709562,38.35,V
2022-06-01 00:06:50,u566284580,컴퓨터,p57010790,50.19,V
2022-06-01 00:06:57,u516853100,식품,p37006770,175.01,V
2022-06-01 00:06:58,u564877869,식품,p28003860,180.16,V
2022-06-01 00:07:01,u514173771,컴퓨터,p22700434,11.45,V
2022-06-01 00:07:06,u541920131,식품,p12709562,38.35,V
2022-06-01 00:07:14,u564749784,식품,p14701292,128.68,V
2022-06-01 00:07:14,u516316320,패션,p26900059,200.78,V
2022-06-01 00:07:16,u552827764,자동차,p51008160,29.58,V
2022-06-01 00:07:30,u516853100,식품,p37002450,101.93,V
2022-06-01 00:07:33,u514904737,식품,p51008330,48.24,V
2022-06-01 00:07:34,u516316320,식품,p27000020,566.3,V
2022-06-01 00:07:35,u549317410,컴퓨터,p51009190,1158.07,V
2022-06-01 00:07:36,u516316320,컴퓨터,p27000036,260.58,V
2022-06-01 00:07:58,u515039974,식품,p53016480,28.29,V
2022-06-01 00:08:01,u562077107,패션,p19200109,604.91,V
2022-06-01 00:08:03,u557673447,자동차,p37010560,69.45,V
2022-06-01 00:08:03,u516172852,패션,p28600032,265.1,V
2022-06-01 00:08:06,u566190908,식품,p28401112,38.35,V
2022-06-01 00:08:12,u514173771,컴퓨터,p22700680,7.16,V
2022-06-01 00:08:18,u562077107,패션,p19200108,496.8,V
2022-06-01 00:08:21,u514173771,컴퓨터,p22700680,7.16,V
2022-06-01 00:08:25,u562187985,컴퓨터,p67011980,512.49,V
2022-06-01 00:08:28,u520543848,식품,p27600172,87.98,V
2022-06-01 00:08:28,u513053739,패션,p26300078,316.1,V
2022-06-01 00:08:28,u559817681,자동차,p41200011,386.11,V
2022-06-01 00:08:30,u556735076,식품,p25008590,43.73,V
2022-06-01 00:08:38,u566285875,패션,p27013300,229.58,V
2022-06-01 00:08:39,u516172852,식품,p17200921,1482.64,V
2022-06-01 00:08:40,u522717744,식품,p21407326,1435.56,V
2022-06-01 00:08:42,u526545883,패션,p15100297,275.17,V
2022-06-01 00:08:43,u522717744,자동차,p21401610,417.0,V
2022-06-01 00:08:51,u522926993,식품,p10050140,503.09,V
2022-06-01 00:08:57,u534949460,자동차,p37008290,133.59,V
2022-06-01 00:08:58,u551693990,패션,p36008900,216.84,V
2022-06-01 00:09:11,u562187985,식품,p17005790,154.42,V
2022-06-01 00:09:14,u522560074,식품,p57007850,180.16,V
2022-06-01 00:09:14,u564658596,식품,p13300099,212.1,V
2022-06-01 00:09:15,u562187985,식품,p17005790,154.42,V
2022-06-01 00:09:35,u559817681,식품,p10050190,94.73,V
2022-06-01 00:09:37,u563890276,식품,p13073420,823.68,V
2022-06-01 00:09:41,u520543848,패션,p47005420,79.8,V
2022-06-01 00:09:42,u558818683,식품,p11500572,30.86,V
2022-06-01 00:09:46,u522717744,식품,p27201650,398.72,V
2022-06-01 00:10:01,u516172852,패션,p14000553,82.4,V
2022-06-01 00:10:11,u559817681,식품,p88007480,73.65,V
2022-06-01 00:10:14,u564658596,식품,p13200134,182.76,V
2022-06-01 00:10:20,u550993980,패션,p22700068,100.39,V
2022-06-01 00:10:23,u564658596,자동차,p13200061,205.9,V
2022-06-01 00:10:38,u512651494,컴퓨터,p30400011,390.74,V
2022-06-01 00:10:47,u534949460,컴퓨터,p37011030,46.31,V
2022-06-01 00:11:04,u524401679,컴퓨터,p22700193,83.66,V
2022-06-01 00:11:04,u553206377,컴퓨터,p12400167,68.43,V
2022-06-01 00:11:17,u563890276,식품,p10051830,1029.34,V
2022-06-01 00:11:22,u537466008,자동차,p10052350,463.28,V
2022-06-01 00:11:27,u524401679,식품,p12717957,55.99,V
2022-06-01 00:11:36,u512801708,패션,p26012990,411.4,V
2022-06-01 00:11:36,u522560074,식품,p57007850,180.16,V
2022-06-01 00:11:39,u537466008,컴퓨터,p10045290,396.15,V
2022-06-01 00:11:47,u563890276,식품,p10051390,2054.06,V
2022-06-01 00:12:01,u522083888,패션,p26200139,232.18,V
2022-06-01 00:12:02,u512801708,패션,p26019870,205.13,V
2022-06-01 00:12:02,u513847031,자동차,p70051620,230.38,V
2022-06-01 00:12:08,u513847031,자동차,p69029050,46.54,V
2022-06-01 00:12:25,u522083888,자동차,p26200670,143.89,V
2022-06-01 00:12:29,u515039974,식품,p53007750,38.53,V
2022-06-01 00:12:30,u550993980,자동차,p57007550,64.35,V
2022-06-01 00:12:39,u516265698,식품,p10051150,949.47,V
2022-06-01 00:12:55,u534949460,식품,p37008770,70.65,V
2022-06-01 00:12:57,u553692364,패션,p26404622,71.04,V
2022-06-01 00:13:00,u512518181,식품,p10048970,952.15,V
2022-06-01 00:13:04,u546273062,자동차,p16700262,14.9,V
2022-06-01 00:13:08,u512801708,식품,p26016610,141.81,V
2022-06-01 00:13:15,u522560074,식품,p15800010,96.22,V
2022-06-01 00:13:17,u522560074,식품,p15800010,96.22,V
2022-06-01 00:13:27,u525377149,식품,p30000055,143.35,V
2022-06-01 00:13:37,u530225353,컴퓨터,p12301074,123.56,V
2022-06-01 00:14:09,u530225353,패션,p12300578,100.9,V
2022-06-01 00:14:18,u518645833,식품,p50008070,472.18,V
2022-06-01 00:14:24,u515129681,컴퓨터,p17200962,349.28,V
2022-06-01 00:14:26,u542562685,식품,p35200011,9.51,V
2022-06-01 00:14:35,u563513294,식품,p67009400,363.15,V
2022-06-01 00:14:39,u523377508,식품,p14801560,622.67,V
2022-06-01 00:14:44,u563911925,식품,p58006770,39.9,V
2022-06-01 00:14:45,u534949460,식품,p37008770,70.65,V
2022-06-01 00:14:47,u512699702,패션,p12706656,50.45,V
2022-06-01 00:14:50,u530225353,패션,p12300490,39.02,V
2022-06-01 00:14:51,u557212976,패션,p10050880,84.69,V
2022-06-01 00:14:55,u529847466,패션,p26800031,308.61,V
2022-06-01 00:15:00,u542562685,컴퓨터,p52000081,51.22,V
2022-06-01 00:15:04,u518645833,식품,p50003630,522.1,V
2022-06-01 00:15:04,u515129681,패션,p15700015,388.14,V
2022-06-01 00:15:08,u514771212,컴퓨터,p13200056,169.86,V
2022-06-01 00:15:20,u514649263,식품,p70050590,59.38,V
2022-06-01 00:15:20,u515521256,패션,p18015510,463.31,V
2022-06-01 00:15:24,u518645833,컴퓨터,p50006360,479.26,V
2022-06-01 00:15:25,u523377508,식품,p14805270,2574.04,V
2022-06-01 00:15:26,u557212976,패션,p10050060,85.88,V
2022-06-01 00:15:27,u563562442,식품,p21406237,176.58,V
2022-06-01 00:15:28,u542347627,식품,p55900001,5.61,V
2022-06-01 00:15:33,u517277573,식품,p11400745,30.63,V
2022-06-01 00:15:40,u514355612,패션,p17301342,31.95,V
2022-06-01 00:15:47,u520571969,패션,p12009470,109.36,V
2022-06-01 00:15:47,u539892797,식품,p17200728,774.44,V
2022-06-01 00:15:50,u514771212,식품,p13200011,128.45,V
2022-06-01 00:15:52,u563704244,식품,p30200002,167.29,V
2022-06-01 00:16:00,u563911925,패션,p58009930,54.06,V
2022-06-01 00:16:07,u563459593,식품,p10051210,973.41,V
2022-06-01 00:16:10,u563704244,식품,p30200002,167.29,V
2022-06-01 00:16:11,u563911925,패션,p58009930,54.06,V
2022-06-01 00:16:11,u563562442,자동차,p21401034,584.31,V
2022-06-01 00:16:17,u563459593,식품,p10042400,1054.6,V
2022-06-01 00:16:25,u518843925,식품,p60000470,109.66,V
2022-06-01 00:16:29,u514355612,패션,p17300827,36.31,V
2022-06-01 00:16:31,u563911925,패션,p58009930,54.06,V
2022-06-01 00:16:36,u514649263,식품,p70022520,117.74,V
2022-06-01 00:16:40,u520571969,컴퓨터,p12015170,1043.78,V
2022-06-01 00:16:50,u563911925,식품,p58015070,42.99,V
2022-06-01 00:16:54,u516370497,자동차,p18018050,228.76,V
2022-06-01 00:17:01,u515521256,패션,p18015510,463.31,V
2022-06-01 00:17:03,u515315334,패션,p19100336,208.5,V
2022-06-01 00:17:13,u513405357,식품,p58011880,34.75,V
2022-06-01 00:17:17,u566291457,패션,p10051240,1583.48,V
2022-06-01 00:17:21,u563513294,컴퓨터,p98004800,39.45,V
2022-06-01 00:17:23,u528102552,식품,p24012430,140.99,V
2022-06-01 00:17:26,u556727865,식품,p12714755,126.13,V
2022-06-01 00:17:38,u542347627,식품,p36000069,17.99,V
2022-06-01 00:17:38,u533307635,컴퓨터,p10052390,280.57,V
2022-06-01 00:17:45,u514649263,패션,p70048060,70.63,V
2022-06-01 00:17:58,u560745787,식품,p67005820,170.63,V
2022-06-01 00:18:02,u530173538,식품,p43003410,64.46,V
2022-06-01 00:18:09,u557212976,식품,p15300290,4.83,V
2022-06-01 00:18:14,u566290865,컴퓨터,p17200528,847.59,V
2022-06-01 00:18:26,u533307635,식품,p10051560,321.76,V
2022-06-01 00:18:29,u512539609,식품,p62000130,90.07,V
2022-06-01 00:19:06,u540801169,식품,p18018820,437.25,V
2022-06-01 00:19:20,u549097667,식품,p20100301,63.01,V
2022-06-01 00:19:28,u549097667,식품,p20100064,86.23,V
2022-06-01 00:19:29,u561048543,식품,p10048330,172.23,V
2022-06-01 00:19:36,u528410760,식품,p10047770,135.01,V
2022-06-01 00:19:37,u530173538,자동차,p43000410,82.19,V
2022-06-01 00:19:43,u530173538,패션,p43002170,78.55,V
2022-06-01 00:19:52,u512681735,패션,p28712327,64.61,V
2022-06-01 00:20:15,u515833755,식품,p26019330,255.35,V
2022-06-01 00:20:16,u528410760,패션,p10052660,137.18,V
2022-06-01 00:20:31,u543409689,식품,p21404608,228.65,V
2022-06-01 00:20:32,u530114093,식품,p37011590,172.21,V
2022-06-01 00:20:39,u566291931,식품,p10502103,41.85,V
2022-06-01 00:20:41,u530173538,식품,p43002620,72.0,V
2022-06-01 00:20:41,u559645804,패션,p10047410,189.97,V
2022-06-01 00:20:51,u518949512,패션,p28000070,257.14,V
2022-06-01 00:20:51,u514086280,컴퓨터,p10048380,178.87,V
2022-06-01 00:20:53,u560100751,패션,p91009650,53.8,V
2022-06-01 00:21:00,u515129681,컴퓨터,p15700176,231.64,V
2022-06-01 00:21:09,u518949512,식품,p27017370,228.47,V
2022-06-01 00:21:11,u546159478,컴퓨터,p21409768,326.91,V
2022-06-01 00:21:13,u552205625,식품,p40001700,167.29,V
2022-06-01 00:21:33,u515821546,패션,p32801027,161.31,V
2022-06-01 00:21:37,u514086280,컴퓨터,p10048380,178.87,B
2022-06-01 00:21:41,u517563115,식품,p13070540,1325.63,V
2022-06-01 00:21:57,u518645833,식품,p37001300,175.38,V
2022-06-01 00:21:58,u515034723,컴퓨터,p26403319,273.11,V
2022-06-01 00:22:00,u557212976,식품,p48045500,5.12,V
2022-06-01 00:22:02,u513198512,식품,p41003430,360.34,V
2022-06-01 00:22:04,u527242428,식품,p10047850,266.0,V
2022-06-01 00:22:17,u513485393,자동차,p26200396,492.16,V
2022-06-01 00:22:18,u530651137,패션,p12703267,79.54,V
2022-06-01 00:22:18,u518645833,식품,p37010680,105.51,V
2022-06-01 00:22:21,u542347627,컴퓨터,p16300025,38.59,V
2022-06-01 00:22:22,u528410760,패션,p10052660,137.18,V
2022-06-01 00:22:25,u530651137,식품,p12711564,105.54,V
2022-06-01 00:22:27,u528410760,식품,p10047770,135.01,V
2022-06-01 00:22:31,u512539609,패션,p62005240,92.64,V
2022-06-01 00:22:45,u514355612,패션,p17302243,44.24,V
2022-06-01 00:23:06,u520013847,컴퓨터,p10048340,172.22,V
2022-06-01 00:23:10,u514086280,자동차,p10047500,195.06,V
2022-06-01 00:23:20,u514086280,패션,p10048140,218.77,V
2022-06-01 00:23:26,u518645833,패션,p37011350,204.63,V
2022-06-01 00:23:30,u514355612,식품,p17302831,93.81,V
2022-06-01 00:23:38,u514519092,식품,p51800151,174.78,V
2022-06-01 00:23:42,u563584539,식품,p10051560,321.76,V
2022-06-01 00:23:54,u566122652,컴퓨터,p10047670,242.63,V
2022-06-01 00:23:54,u520013847,패션,p10048860,128.68,V
2022-06-01 00:24:01,u559990479,식품,p89003050,35.25,V
2022-06-01 00:24:01,u517563115,패션,p54900003,77.22,V
2022-06-01 00:24:03,u512538210,식품,p48044370,51.22,V
2022-06-01 00:24:12,u515613191,컴퓨터,p26200594,226.78,V
2022-06-01 00:24:25,u514509290,패션,p14300048,592.01,V
2022-06-01 00:24:26,u515833755,패션,p26020610,406.68,V
2022-06-01 00:24:29,u514519092,패션,p28719034,62.81,V
2022-06-01 00:24:35,u514672621,패션,p18019950,180.16,V
2022-06-01 00:24:38,u514601947,식품,p25200022,5.12,V
2022-06-01 00:24:41,u563584539,식품,p10051560,321.76,V
2022-06-01 00:24:51,u518373642,컴퓨터,p51004030,180.16,V
2022-06-01 00:24:56,u520013847,패션,p10052120,193.22,V
2022-06-01 00:24:58,u517563115,식품,p52100002,88.78,V
2022-06-01 00:25:01,u513052669,식품,p10042490,722.4,V
2022-06-01 00:25:05,u512539609,식품,p85000950,1006.62,V
2022-06-01 00:25:06,u536528400,컴퓨터,p12706555,39.64,V
2022-06-01 00:25:15,u518640375,식품,p12718696,57.92,V
2022-06-01 00:25:15,u547576830,식품,p10025440,458.28,V
2022-06-01 00:25:16,u548799980,패션,p10048400,946.73,V
2022-06-01 00:25:20,u514991148,패션,p58000000,188.65,V
2022-06-01 00:25:29,u563911925,패션,p58001960,69.5,V
2022-06-01 00:25:38,u513779713,식품,p10048580,131.53,V
2022-06-01 00:25:39,u514206296,자동차,p18018050,228.76,V
2022-06-01 00:25:43,u550682026,식품,p41001560,360.34,V
2022-06-01 00:25:47,u536528400,식품,p12703494,41.19,V
2022-06-01 00:25:50,u514132186,컴퓨터,p41000030,412.44,V
2022-06-01 00:26:00,u513052669,식품,p10048330,172.23,V
2022-06-01 00:26:01,u518949512,식품,p28006110,378.9,V
2022-06-01 00:26:05,u566263856,패션,p10046700,1286.75,V
2022-06-01 00:26:05,u518645833,패션,p33000900,108.09,V
2022-06-01 00:26:11,u514102880,패션,p10048390,179.12,V
2022-06-01 00:26:18,u514197022,패션,p18017260,282.37,V
2022-06-01 00:26:21,u546241395,식품,p12500527,46.33,V
2022-06-01 00:26:24,u516308435,식품,p28102777,162.17,V
2022-06-01 00:26:27,u513052669,식품,p48040560,160.57,V
2022-06-01 00:26:34,u515051763,식품,p10052170,151.07,V
2022-06-01 00:26:35,u536279197,식품,p47004780,141.86,V
2022-06-01 00:26:37,u513990017,식품,p10048560,128.42,V
2022-06-01 00:26:46,u566263856,자동차,p10035350,460.5,V
2022-06-01 00:26:49,u562951051,컴퓨터,p10052190,102.94,V
2022-06-01 00:26:54,u566294753,자동차,p30000218,254.78,V
2022-06-01 00:26:54,u548799980,컴퓨터,p10037680,485.54,V
2022-06-01 00:27:11,u517563115,식품,p26000357,11.6,V
2022-06-01 00:27:11,u513052669,컴퓨터,p48045720,208.5,V
2022-06-01 00:27:12,u566263856,식품,p10046500,622.27,V
2022-06-01 00:27:13,u512685320,컴퓨터,p26205665,7.34,V
2022-06-01 00:27:14,u514197022,식품,p18015160,295.99,V
2022-06-01 00:27:15,u512539609,식품,p62011780,74.62,V
2022-06-01 00:27:15,u519430549,식품,p12705588,45.19,V
2022-06-01 00:27:16,u514519092,패션,p28720701,102.45,V
2022-06-01 00:27:17,u564676922,자동차,p18020340,115.04,V
2022-06-01 00:27:30,u518373642,패션,p51004500,257.38,V
2022-06-01 00:27:40,u515051763,식품,p10052170,151.07,V
2022-06-01 00:27:51,u543500475,자동차,p10050540,71.82,V
2022-06-01 00:27:54,u518949512,식품,p28004290,168.86,V
2022-06-01 00:27:54,u513052669,컴퓨터,p48045720,208.5,V
2022-06-01 00:28:03,u545556402,패션,p10051430,1485.98,V
2022-06-01 00:28:16,u557212976,식품,p25016710,61.75,V
2022-06-01 00:28:51,u517563115,패션,p16800026,45.02,V
2022-06-01 00:28:52,u542347627,패션,p28721757,62.81,V
2022-06-01 00:28:54,u515051763,패션,p10052660,137.18,V
2022-06-01 00:29:00,u536449042,컴퓨터,p13069860,900.41,V
2022-06-01 00:29:02,u512599061,패션,p13066390,746.19,V
2022-06-01 00:29:04,u515051763,패션,p10052660,137.18,V
2022-06-01 00:29:32,u536528400,식품,p42700013,410.82,V
2022-06-01 00:29:33,u518645833,식품,p33004730,138.92,V
2022-06-01 00:29:33,u542347627,패션,p28721757,62.81,V
2022-06-01 00:29:41,u561603837,패션,p10051950,111.56,V
2022-06-01 00:29:42,u518026730,패션,p14300026,901.6,V
2022-06-01 00:30:06,u566294920,식품,p47300258,216.3,V
2022-06-01 00:30:10,u564442389,식품,p10047080,151.99,V
2022-06-01 00:30:10,u537772209,자동차,p21407216,998.74,V
2022-06-01 00:30:16,u514632384,컴퓨터,p10051630,281.5,V
2022-06-01 00:30:22,u539548286,패션,p16800381,48.65,V
2022-06-01 00:30:22,u536449042,식품,p13073500,514.79,V
2022-06-01 00:30:24,u518949512,컴퓨터,p28005900,334.37,V
2022-06-01 00:30:36,u542347627,컴퓨터,p45601043,37.32,V
2022-06-01 00:30:44,u518949512,패션,p28005970,193.06,V
2022-06-01 00:30:58,u518641811,자동차,p12719423,53.8,V
2022-06-01 00:31:00,u545909979,식품,p10048330,172.23,V
2022-06-01 00:31:05,u535862523,패션,p28714142,66.93,V
2022-06-01 00:31:08,u552192941,식품,p27024140,372.44,V
2022-06-01 00:31:11,u516795601,식품,p26403339,219.05,V
2022-06-01 00:31:19,u557212976,컴퓨터,p25018010,64.33,V
2022-06-01 00:31:30,u515129681,식품,p15700145,225.21,V
2022-06-01 00:31:31,u564442389,패션,p10047410,189.97,V
2022-06-01 00:31:43,u552288390,식품,p55001990,398.95,V
2022-06-01 00:31:58,u552192941,패션,p27024150,283.12,V
2022-06-01 00:32:02,u518949512,식품,p28001600,388.11,V
2022-06-01 00:32:08,u545556402,식품,p10042270,1000.77,V
2022-06-01 00:32:18,u515129681,자동차,p25600272,181.45,V
2022-06-01 00:32:53,u564303874,패션,p18018810,488.8,V
2022-06-01 00:32:54,u552205625,식품,p40001700,167.29,V
2022-06-01 00:33:04,u536528400,식품,p48042950,22.8,V
2022-06-01 00:33:12,u554279958,식품,p10051600,212.08,V
2022-06-01 00:33:22,u514102880,식품,p10048330,172.23,V
2022-06-01 00:33:27,u519235891,식품,p28717907,102.45,V
2022-06-01 00:33:27,u564303874,식품,p13062560,334.37,V
2022-06-01 00:33:29,u518949512,식품,p28004150,229.09,V
2022-06-01 00:33:47,u514548974,식품,p15300366,5.62,V
2022-06-01 00:34:06,u518949512,자동차,p28002530,336.43,V
2022-06-01 00:34:15,u514667790,식품,p51004660,38.26,V
2022-06-01 00:34:18,u541772752,식품,p12718506,42.47,V
2022-06-01 00:34:19,u546273062,자동차,p16700262,14.9,V
2022-06-01 00:34:22,u537500919,패션,p39000020,105.7,V
2022-06-01 00:34:31,u514522673,식품,p10045320,128.68,V
2022-06-01 00:34:40,u560470832,패션,p15100350,321.73,V
2022-06-01 00:34:40,u566294920,패션,p47300169,488.74,V
2022-06-01 00:34:41,u513679780,식품,p10051610,211.92,V
2022-06-01 00:34:46,u513941239,식품,p10051220,1027.59,V
2022-06-01 00:34:46,u514632384,패션,p10047410,189.97,V
2022-06-01 00:34:52,u563374945,식품,p26014130,152.87,V
2022-06-01 00:34:53,u534949460,식품,p37008770,70.65,V
2022-06-01 00:35:03,u536279197,자동차,p47003800,142.84,V
2022-06-01 00:35:06,u519235891,식품,p28717907,102.45,V
2022-06-01 00:35:06,u516003978,식품,p36005910,93.51,V
2022-06-01 00:35:07,u540295088,패션,p16000664,48.39,V
2022-06-01 00:35:11,u522926993,패션,p48039770,107.45,V
2022-06-01 00:35:13,u536279197,식품,p47004190,149.33,V
2022-06-01 00:35:14,u541772752,식품,p12703410,47.62,V
2022-06-01 00:35:14,u540295088,패션,p16000962,44.27,V
2022-06-01 00:35:17,u565142388,식품,p10051600,212.08,V
2022-06-01 00:35:27,u516298129,자동차,p10047390,203.09,V
2022-06-01 00:35:31,u560470832,패션,p15100350,321.73,V
2022-06-01 00:35:38,u558959900,자동차,p42600189,51.33,V
2022-06-01 00:35:42,u545556402,식품,p10025440,458.28,V
2022-06-01 00:35:44,u534949460,자동차,p39003390,30.86,V
2022-06-01 00:35:47,u563374945,식품,p26006240,126.1,V
2022-06-01 00:35:47,u547195134,식품,p13105206,270.28,V
2022-06-01 00:35:47,u514132186,자동차,p12400174,69.5,V
2022-06-01 00:35:51,u558959900,식품,p42600248,14.41,V
2022-06-01 00:35:57,u540295088,식품,p16300106,49.18,V
2022-06-01 00:36:16,u566296729,패션,p10051570,269.78,V
2022-06-01 00:36:19,u515129681,자동차,p17800716,55.57,V
2022-06-01 00:36:21,u533351761,식품,p26402948,428.85,V
2022-06-01 00:36:22,u514472716,식품,p10051150,949.47,V
2022-06-01 00:36:28,u514132186,패션,p12400194,84.94,V
2022-06-01 00:36:42,u557330216,식품,p29007150,78.46,V
2022-06-01 00:36:47,u554869063,패션,p12300237,29.58,V
2022-06-01 00:36:50,u546736263,자동차,p10044330,313.78,V
2022-06-01 00:36:53,u558345718,컴퓨터,p27400018,91.47,V
2022-06-01 00:36:53,u516600364,식품,p10051600,212.08,V
2022-06-01 00:36:55,u565142388,컴퓨터,p10047670,242.63,V
2022-06-01 00:36:57,u518890476,식품,p13100450,73.1,V
2022-06-01 00:37:03,u517417104,자동차,p37004120,323.05,V
2022-06-01 00:37:10,u514522673,식품,p10045780,257.38,V
2022-06-01 00:37:10,u545556402,식품,p10025440,458.28,V
2022-06-01 00:37:18,u518890476,식품,p13100450,73.1,V
2022-06-01 00:37:19,u561431113,식품,p14807070,525.08,V
2022-06-01 00:37:22,u519438060,식품,p16800027,51.22,V
2022-06-01 00:37:26,u563911925,패션,p58007120,68.47,V
