date,team,continent,H/A,oppenent,op_continent,scored_goal,conceded_goal,tournament,result
1994-01-26,Switzerland,Europe,Home,Mexico,North America,5,1,Frendly,Win
1994-01-26,Mexico,North America,Away,Switzerland,Europe,1,5,Frendly,Lose
1994-01-26,China PR,Asia,Home,Saudi Arabia,Asia,1,1,Frendly,Draw
1994-01-26,Saudi Arabia,Asia,Away,China PR,Asia,1,1,Frendly,Draw
1994-01-27,Grenada,North America,Home,Barbados,North America,2,3,Others,Lose
1994-01-27,Barbados,North America,Away,Grenada,North America,3,2,Others,Win
1994-01-27,Finland,Europe,Home,Qatar,Asia,0,0,Frendly,Draw
1994-01-27,Qatar,Asia,Away,Finland,Europe,0,0,Frendly,Draw
1994-01-28,Venezuela,South America,Home,Colombia,South America,1,2,Frendly,Lose
1994-01-28,Colombia,South America,Away,Venezuela,South America,2,1,Frendly,Win
1994-01-29,Guinea,Africa,Home,Burkina Faso,Africa,1,1,Frendly,Draw
1994-01-29,Burkina Faso,Africa,Away,Guinea,Africa,1,1,Frendly,Draw
1994-01-29,Niger,Africa,Home,Côte d'Ivoire,Africa,3,5,Frendly,Lose
1994-01-29,Côte d'Ivoire,Africa,Away,Niger,Africa,5,3,Frendly,Win
1994-01-29,Russia,Europe,Home,USA,North America,1,1,Frendly,Draw
1994-01-29,USA,North America,Away,Russia,Europe,1,1,Frendly,Draw
1994-01-30,Côte d'Ivoire,Africa,Home,Burkina Faso,Africa,1,0,Frendly,Win
1994-01-30,Burkina Faso,Africa,Away,Côte d'Ivoire,Africa,0,1,Frendly,Lose
1994-01-30,Niger,Africa,Home,Guinea,Africa,3,1,Frendly,Win
1994-01-30,Guinea,Africa,Away,Niger,Africa,1,3,Frendly,Lose
1994-01-30,Finland,Europe,Home,Oman,Asia,2,0,Frendly,Win
1994-01-30,Oman,Asia,Away,Finland,Europe,0,2,Frendly,Lose
1994-01-30,Senegal,Africa,Home,Mali,Africa,0,0,Frendly,Draw
1994-01-30,Mali,Africa,Away,Senegal,Africa,0,0,Frendly,Draw
1994-02-01,Oman,Asia,Home,Finland,Europe,1,1,Frendly,Draw
1994-02-01,Finland,Europe,Away,Oman,Asia,1,1,Frendly,Draw
1994-02-02,Morocco,Africa,Home,Egypt,Africa,1,1,Others,Draw
1994-02-02,Egypt,Africa,Away,Morocco,Africa,1,1,Others,Draw
1994-02-02,Russia,Europe,Home,Mexico,North America,4,1,Frendly,Win
1994-02-02,Mexico,North America,Away,Russia,Europe,1,4,Frendly,Lose
1994-02-02,Slovakia,Europe,Home,United Arab Emirates,Asia,1,0,Others,Win
1994-02-02,United Arab Emirates,Asia,Away,Slovakia,Europe,0,1,Others,Lose
1994-02-04,Egypt,Africa,Home,Slovakia,Europe,1,0,Others,Win
1994-02-04,Slovakia,Europe,Away,Egypt,Africa,0,1,Others,Lose
1994-02-04,Oman,Asia,Home,Kenya,Africa,1,0,Frendly,Win
1994-02-04,Kenya,Africa,Away,Oman,Asia,0,1,Frendly,Lose
1994-02-04,United Arab Emirates,Asia,Home,Morocco,Africa,1,1,Others,Draw
1994-02-04,Morocco,Africa,Away,United Arab Emirates,Asia,1,1,Others,Draw
1994-02-06,Morocco,Africa,Home,Slovakia,Europe,2,1,Others,Win
1994-02-06,Slovakia,Europe,Away,Morocco,Africa,1,2,Others,Lose
1994-02-06,Oman,Asia,Home,Kenya,Africa,2,0,Frendly,Win
1994-02-06,Kenya,Africa,Away,Oman,Asia,0,2,Frendly,Lose
1994-02-06,Saudi Arabia,Asia,Home,Colombia,South America,1,1,Frendly,Draw
1994-02-06,Colombia,South America,Away,Saudi Arabia,Asia,1,1,Frendly,Draw
1994-02-06,United Arab Emirates,Asia,Home,Egypt,Africa,0,1,Others,Lose
1994-02-06,Egypt,Africa,Away,United Arab Emirates,Asia,1,0,Others,Win
1994-02-07,Gambia,Africa,Home,Senegal,Africa,0,0,Frendly,Draw
1994-02-07,Senegal,Africa,Away,Gambia,Africa,0,0,Frendly,Draw
1994-02-08,Malta,Europe,Home,Tunisia,Africa,1,1,Others,Draw
1994-02-08,Tunisia,Africa,Away,Malta,Europe,1,1,Others,Draw
1994-02-09,Spain,Europe,Home,Poland,Europe,1,1,Frendly,Draw
1994-02-09,Poland,Europe,Away,Spain,Europe,1,1,Frendly,Draw
1994-02-10,Slovenia,Europe,Home,Tunisia,Africa,2,2,Others,Draw
1994-02-10,Tunisia,Africa,Away,Slovenia,Europe,2,2,Others,Draw
1994-02-12,Malawi,Africa,Home,Zambia,Africa,0,3,Frendly,Lose
1994-02-12,Zambia,Africa,Away,Malawi,Africa,3,0,Frendly,Win
1994-02-12,Malta,Europe,Home,Slovenia,Europe,0,1,Others,Lose
1994-02-12,Slovenia,Europe,Away,Malta,Europe,1,0,Others,Win
1994-02-13,Malawi,Africa,Home,Zambia,Africa,0,2,Frendly,Lose
1994-02-13,Zambia,Africa,Away,Malawi,Africa,2,0,Frendly,Win
1994-02-13,Romania,Europe,Home,USA,North America,2,1,Others,Win
1994-02-13,USA,North America,Away,Romania,Europe,1,2,Others,Lose
1994-02-16,Italy,Europe,Home,France,Europe,0,1,Frendly,Lose
1994-02-16,France,Europe,Away,Italy,Europe,1,0,Frendly,Win
1994-02-16,Korea,Asia,Home,Romania,Europe,1,2,Frendly,Lose
1994-02-16,Romania,Europe,Away,Korea,Asia,2,1,Frendly,Win
1994-02-16,Malta,Europe,Home,Belgium,Europe,1,0,Frendly,Win
1994-02-16,Belgium,Europe,Away,Malta,Europe,0,1,Frendly,Lose
1994-02-18,Colombia,South America,Home,Sweden,Europe,0,0,Frendly,Draw
1994-02-18,Sweden,Europe,Away,Colombia,South America,0,0,Frendly,Draw
1994-02-18,USA,North America,Home,Bolivia,South America,1,1,Frendly,Draw
1994-02-18,Bolivia,South America,Away,USA,North America,1,1,Frendly,Draw
1994-02-20,Bolivia,South America,Home,Colombia,South America,0,2,Frendly,Lose
1994-02-20,Colombia,South America,Away,Bolivia,South America,2,0,Frendly,Win
1994-02-20,USA,North America,Home,Sweden,Europe,1,3,Frendly,Lose
1994-02-20,Sweden,Europe,Away,USA,North America,3,1,Frendly,Win
1994-02-23,Mali,Africa,Home,Ghana,Africa,0,0,Frendly,Draw
1994-02-23,Ghana,Africa,Away,Mali,Africa,0,0,Frendly,Draw
1994-02-23,Morocco,Africa,Home,Finland,Europe,0,0,Frendly,Draw
1994-02-23,Finland,Europe,Away,Morocco,Africa,0,0,Frendly,Draw
1994-02-24,Mexico,North America,Home,Sweden,Europe,2,1,Frendly,Win
1994-02-24,Sweden,Europe,Away,Mexico,North America,1,2,Frendly,Lose
1994-02-26,Colombia,South America,Home,Korea,Asia,2,2,Frendly,Draw
1994-02-26,Korea,Asia,Away,Colombia,South America,2,2,Frendly,Draw
1994-02-26,Zimbabwe,Africa,Home,Zambia,Africa,2,2,Frendly,Draw
1994-02-26,Zambia,Africa,Away,Zimbabwe,Africa,2,2,Frendly,Draw
1994-02-27,Gabon,Africa,Home,Senegal,Africa,0,0,Frendly,Draw
1994-02-27,Senegal,Africa,Away,Gabon,Africa,0,0,Frendly,Draw
1994-03-02,Mexico,North America,Home,Colombia,South America,0,0,Frendly,Draw
1994-03-02,Colombia,South America,Away,Mexico,North America,0,0,Frendly,Draw
1994-03-05,USA,North America,Home,Korea,Asia,1,0,Frendly,Win
1994-03-05,Korea,Asia,Away,USA,North America,0,1,Frendly,Lose
1994-03-06,Cayman Islands,North America,Home,Jamaica,North America,3,2,Others,Win
1994-03-06,Jamaica,North America,Away,Cayman Islands,North America,2,3,Others,Lose
1994-03-09,Cyprus,Europe,Home,Estonia,Europe,2,0,Frendly,Win
1994-03-09,Estonia,Europe,Away,Cyprus,Europe,0,2,Frendly,Lose
1994-03-09,England,Europe,Home,Denmark,Europe,1,0,Frendly,Win
1994-03-09,Denmark,Europe,Away,England,Europe,0,1,Frendly,Lose
1994-03-09,Hungary,Europe,Home,Switzerland,Europe,1,2,Frendly,Lose
1994-03-09,Switzerland,Europe,Away,Hungary,Europe,2,1,Frendly,Win
1994-03-09,Nigeria,Africa,Home,Ghana,Africa,0,0,Frendly,Draw
1994-03-09,Ghana,Africa,Away,Nigeria,Africa,0,0,Frendly,Draw
1994-03-09,Wales,Europe,Home,Norway,Europe,1,3,Frendly,Lose
1994-03-09,Norway,Europe,Away,Wales,Europe,3,1,Frendly,Win
1994-03-10,Dominican Republic,North America,Home,Haiti,North America,0,1,Others,Lose
1994-03-10,Haiti,North America,Away,Dominican Republic,North America,1,0,Others,Win
1994-03-12,USA,North America,Home,Korea,Asia,1,1,Frendly,Draw
1994-03-12,Korea,Asia,Away,USA,North America,1,1,Frendly,Draw
1994-03-12,Zambia,Africa,Home,Zimbabwe,Africa,2,1,Frendly,Win
1994-03-12,Zimbabwe,Africa,Away,Zambia,Africa,1,2,Frendly,Lose
1994-03-15,Israel,Europe,Home,Ukraine,Europe,1,0,Frendly,Win
1994-03-15,Ukraine,Europe,Away,Israel,Europe,0,1,Frendly,Lose
1994-03-16,Egypt,Africa,Home,Cameroon,Africa,0,0,Frendly,Draw
1994-03-16,Cameroon,Africa,Away,Egypt,Africa,0,0,Frendly,Draw
1994-03-17,Tunisia,Africa,Home,Niger,Africa,4,2,Frendly,Win
1994-03-17,Niger,Africa,Away,Tunisia,Africa,2,4,Frendly,Lose
1994-03-19,Angola,Africa,Home,Gabon,Africa,2,1,Frendly,Win
1994-03-19,Gabon,Africa,Away,Angola,Africa,1,2,Frendly,Lose
1994-03-22,Chile,South America,Home,France,Europe,1,3,Frendly,Lose
1994-03-22,France,Europe,Away,Chile,South America,3,1,Frendly,Win
1994-03-23,Hungary,Europe,Home,Austria,Europe,1,1,Frendly,Draw
1994-03-23,Austria,Europe,Away,Hungary,Europe,1,1,Frendly,Draw
1994-03-23,Argentina,South America,Home,Brazil,South America,0,2,Frendly,Lose
1994-03-23,Brazil,South America,Away,Argentina,South America,2,0,Frendly,Win
1994-03-23,Italy,Europe,Home,Germany,Europe,1,2,Frendly,Lose
1994-03-23,Germany,Europe,Away,Italy,Europe,2,1,Frendly,Win
1994-03-23,Poland,Europe,Home,Greece,Europe,0,0,Frendly,Draw
1994-03-23,Greece,Europe,Away,Poland,Europe,0,0,Frendly,Draw
1994-03-23,Russia,Europe,Home,Republic of Ireland,Europe,0,0,Frendly,Draw
1994-03-23,Republic of Ireland,Europe,Away,Russia,Europe,0,0,Frendly,Draw
1994-03-23,Morocco,Africa,Home,Luxembourg,Europe,2,1,Frendly,Win
1994-03-23,Luxembourg,Europe,Away,Morocco,Africa,1,2,Frendly,Lose
1994-03-23,Romania,Europe,Home,Northern Ireland,Europe,0,2,Frendly,Lose
1994-03-23,Northern Ireland,Europe,Away,Romania,Europe,2,0,Frendly,Win
1994-03-23,Netherlands,Europe,Home,Scotland,Europe,1,0,Frendly,Win
1994-03-23,Scotland,Europe,Away,Netherlands,Europe,0,1,Frendly,Lose
1994-03-23,Croatia,Europe,Home,Spain,Europe,2,0,Frendly,Win
1994-03-23,Spain,Europe,Away,Croatia,Europe,0,2,Frendly,Lose
1994-03-26,Gabon,Africa,Home,Nigeria,Africa,0,3,Others,Lose
1994-03-26,Nigeria,Africa,Away,Gabon,Africa,3,0,Others,Win
1994-03-26,Chile,South America,Home,Saudi Arabia,Asia,2,0,Frendly,Win
1994-03-26,Saudi Arabia,Asia,Away,Chile,South America,0,2,Frendly,Lose
1994-03-26,Mali,Africa,Home,Tunisia,Africa,2,0,Others,Win
1994-03-26,Tunisia,Africa,Away,Mali,Africa,0,2,Others,Lose
1994-03-26,Bolivia,South America,Home,USA,North America,2,2,Frendly,Draw
1994-03-26,USA,North America,Away,Bolivia,South America,2,2,Frendly,Draw
1994-03-27,Guinea,Africa,Home,Ghana,Africa,0,1,Others,Lose
1994-03-27,Ghana,Africa,Away,Guinea,Africa,1,0,Others,Win
1994-03-27,Sierra Leone,Africa,Home,Côte d'Ivoire,Africa,0,4,Others,Lose
1994-03-27,Côte d'Ivoire,Africa,Away,Sierra Leone,Africa,4,0,Others,Win
1994-03-28,Egypt,Africa,Home,Gabon,Africa,4,0,Others,Win
1994-03-28,Gabon,Africa,Away,Egypt,Africa,0,4,Others,Lose
1994-03-29,Senegal,Africa,Home,Guinea,Africa,2,1,Others,Win
1994-03-29,Guinea,Africa,Away,Senegal,Africa,1,2,Others,Lose
1994-03-29,Sierra Leone,Africa,Home,Zambia,Africa,0,0,Others,Draw
1994-03-29,Zambia,Africa,Away,Sierra Leone,Africa,0,0,Others,Draw
1994-03-30,Malta,Europe,Home,Slovakia,Europe,1,2,Frendly,Lose
1994-03-30,Slovakia,Europe,Away,Malta,Europe,2,1,Frendly,Win
1994-03-30,Nigeria,Africa,Home,Egypt,Africa,0,0,Others,Draw
1994-03-30,Egypt,Africa,Away,Nigeria,Africa,0,0,Others,Draw
1994-03-31,Ghana,Africa,Home,Senegal,Africa,1,0,Others,Win
1994-03-31,Senegal,Africa,Away,Ghana,Africa,0,1,Others,Lose
1994-03-31,Zambia,Africa,Home,Côte d'Ivoire,Africa,1,0,Others,Win
1994-03-31,Côte d'Ivoire,Africa,Away,Zambia,Africa,0,1,Others,Lose
1994-04-02,Mali,Africa,Home,Egypt,Africa,1,0,Others,Win
1994-04-02,Egypt,Africa,Away,Mali,Africa,0,1,Others,Lose
1994-04-03,Côte d'Ivoire,Africa,Home,Ghana,Africa,2,1,Others,Win
1994-04-03,Ghana,Africa,Away,Côte d'Ivoire,Africa,1,2,Others,Lose
1994-04-03,Zambia,Africa,Home,Senegal,Africa,1,0,Others,Win
1994-04-03,Senegal,Africa,Away,Zambia,Africa,0,1,Others,Lose
1994-04-06,Slovenia,Europe,Home,Hungary,Europe,1,0,Frendly,Win
1994-04-06,Hungary,Europe,Away,Slovenia,Europe,0,1,Frendly,Lose
1994-04-06,Nigeria,Africa,Home,Côte d'Ivoire,Africa,2,2,Others,Draw
1994-04-06,Côte d'Ivoire,Africa,Away,Nigeria,Africa,2,2,Others,Draw
1994-04-06,Zambia,Africa,Home,Mali,Africa,4,0,Others,Win
1994-04-06,Mali,Africa,Away,Zambia,Africa,0,4,Others,Lose
1994-04-07,Cayman Islands,North America,Home,Haiti,North America,2,3,Others,Lose
1994-04-07,Haiti,North America,Away,Cayman Islands,North America,3,2,Others,Win
1994-04-07,Bolivia,South America,Home,Colombia,South America,1,0,Frendly,Win
1994-04-07,Colombia,South America,Away,Bolivia,South America,0,1,Frendly,Lose
1994-04-09,Suriname,South America,Home,Cayman Islands,North America,2,0,Others,Win
1994-04-09,Cayman Islands,North America,Away,Suriname,South America,0,2,Others,Lose
1994-04-10,Côte d'Ivoire,Africa,Home,Mali,Africa,3,1,Others,Win
1994-04-10,Mali,Africa,Away,Côte d'Ivoire,Africa,1,3,Others,Lose
1994-04-10,Nigeria,Africa,Home,Zambia,Africa,2,1,Others,Win
1994-04-10,Zambia,Africa,Away,Nigeria,Africa,1,2,Others,Lose
1994-04-11,Suriname,South America,Home,Haiti,North America,1,1,Others,Draw
1994-04-11,Haiti,North America,Away,Suriname,South America,1,1,Others,Draw
1994-04-13,Saudi Arabia,Asia,Home,Poland,Europe,0,1,Frendly,Lose
1994-04-13,Poland,Europe,Away,Saudi Arabia,Asia,1,0,Frendly,Win
1994-04-14,Suriname,South America,Home,Trinidad and Tobago,South America,2,3,Others,Lose
1994-04-14,Trinidad and Tobago,South America,Away,Suriname,South America,3,2,Others,Win
1994-04-15,Oman,Asia,Home,Bulgaria,Europe,1,1,Frendly,Draw
1994-04-15,Bulgaria,Europe,Away,Oman,Asia,1,1,Frendly,Draw
1994-04-17,Nigeria,Africa,Home,Colombia,South America,0,1,Frendly,Lose
1994-04-17,Colombia,South America,Away,Nigeria,Africa,1,0,Frendly,Win
1994-04-18,Tunisia,Africa,Home,Saudi Arabia,Asia,2,0,Frendly,Win
1994-04-18,Saudi Arabia,Asia,Away,Tunisia,Africa,0,2,Frendly,Lose
1994-04-20,Argentina,South America,Home,Morocco,Africa,3,1,Frendly,Win
1994-04-20,Morocco,Africa,Away,Argentina,South America,1,3,Frendly,Lose
1994-04-20,Austria,Europe,Home,Scotland,Europe,1,2,Frendly,Lose
1994-04-20,Scotland,Europe,Away,Austria,Europe,2,1,Frendly,Win
1994-04-20,Denmark,Europe,Home,Hungary,Europe,3,1,Frendly,Win
1994-04-20,Hungary,Europe,Away,Denmark,Europe,1,3,Frendly,Lose
1994-04-20,Saudi Arabia,Asia,Home,Iceland,Europe,2,0,Frendly,Win
1994-04-20,Iceland,Europe,Away,Saudi Arabia,Asia,0,2,Frendly,Lose
1994-04-20,Lithuania,Europe,Home,Israel,Europe,1,1,Frendly,Draw
1994-04-20,Israel,Europe,Away,Lithuania,Europe,1,1,Frendly,Draw
1994-04-20,Republic of Ireland,Europe,Home,Netherlands,Europe,1,0,Frendly,Win
1994-04-20,Netherlands,Europe,Away,Republic of Ireland,Europe,0,1,Frendly,Lose
1994-04-20,Liechtenstein,Europe,Home,Northern Ireland,Europe,1,4,Others,Lose
1994-04-20,Northern Ireland,Europe,Away,Liechtenstein,Europe,4,1,Others,Win
1994-04-20,Norway,Europe,Home,Portugal,Europe,0,0,Frendly,Draw
1994-04-20,Portugal,Europe,Away,Norway,Europe,0,0,Frendly,Draw
1994-04-20,Bolivia,South America,Home,Romania,Europe,0,3,Frendly,Lose
1994-04-20,Romania,Europe,Away,Bolivia,South America,3,0,Frendly,Win
1994-04-20,Croatia,Europe,Home,Slovakia,Europe,1,4,Frendly,Lose
1994-04-20,Slovakia,Europe,Away,Croatia,Europe,4,1,Frendly,Win
1994-04-20,Czech Republic,Europe,Home,Switzerland,Europe,0,3,Frendly,Lose
1994-04-20,Switzerland,Europe,Away,Czech Republic,Europe,3,0,Frendly,Win
1994-04-20,Russia,Europe,Home,Turkey,Europe,1,0,Frendly,Win
1994-04-20,Turkey,Europe,Away,Russia,Europe,0,1,Frendly,Lose
1994-04-20,Sweden,Europe,Home,Wales,Europe,2,0,Frendly,Win
1994-04-20,Wales,Europe,Away,Sweden,Europe,0,2,Frendly,Lose
1994-04-22,Eswatini,Africa,Home,Mozambique,Africa,0,1,Frendly,Lose
1994-04-22,Mozambique,Africa,Away,Eswatini,Africa,1,0,Frendly,Win
1994-04-24,South Africa,Africa,Home,Zimbabwe,Africa,1,0,Frendly,Win
1994-04-24,Zimbabwe,Africa,Away,South Africa,Africa,0,1,Frendly,Lose
1994-04-24,USA,North America,Home,Iceland,Europe,1,2,Frendly,Lose
1994-04-24,Iceland,Europe,Away,USA,North America,2,1,Frendly,Win
1994-04-27,Saudi Arabia,Asia,Home,Greece,Europe,1,5,Frendly,Lose
1994-04-27,Greece,Europe,Away,Saudi Arabia,Asia,5,1,Frendly,Win
1994-04-27,Cyprus,Europe,Home,Slovenia,Europe,0,3,Frendly,Lose
1994-04-27,Slovenia,Europe,Away,Cyprus,Europe,3,0,Frendly,Win
1994-04-27,Germany,Europe,Home,United Arab Emirates,Asia,2,0,Frendly,Win
1994-04-27,United Arab Emirates,Asia,Away,Germany,Europe,0,2,Frendly,Lose
1994-04-28,Bulgaria,Europe,Home,Kuwait,Asia,2,2,Frendly,Draw
1994-04-28,Kuwait,Asia,Away,Bulgaria,Europe,2,2,Frendly,Draw
1994-04-30,Chile,South America,Home,USA,North America,2,0,Frendly,Win
1994-04-30,USA,North America,Away,Chile,South America,0,2,Frendly,Lose
1994-05-01,Cameroon,Africa,Home,Korea,Asia,2,2,Frendly,Draw
1994-05-01,Korea,Asia,Away,Cameroon,Africa,2,2,Frendly,Draw
1994-05-03,Peru,South America,Home,Colombia,South America,0,1,Frendly,Lose
1994-05-03,Colombia,South America,Away,Peru,South America,1,0,Frendly,Win
1994-05-03,Honduras,North America,Home,El Salvador,North America,1,3,Frendly,Lose
1994-05-03,El Salvador,North America,Away,Honduras,North America,3,1,Frendly,Win
1994-05-03,Cameroon,Africa,Home,Korea,Asia,1,2,Frendly,Lose
1994-05-03,Korea,Asia,Away,Cameroon,Africa,2,1,Frendly,Win
1994-05-04,Saudi Arabia,Asia,Home,Bolivia,South America,0,1,Frendly,Lose
1994-05-04,Bolivia,South America,Away,Saudi Arabia,Asia,1,0,Frendly,Win
1994-05-04,Iceland,Europe,Home,Brazil,South America,0,3,Frendly,Lose
1994-05-04,Brazil,South America,Away,Iceland,Europe,3,0,Frendly,Win
1994-05-04,Poland,Europe,Home,Hungary,Europe,3,2,Frendly,Win
1994-05-04,Hungary,Europe,Away,Poland,Europe,2,3,Frendly,Lose
1994-05-05,Colombia,South America,Home,El Salvador,North America,3,0,Frendly,Win
1994-05-05,El Salvador,North America,Away,Colombia,South America,0,3,Frendly,Lose
1994-05-05,Honduras,North America,Home,Peru,South America,2,1,Frendly,Win
1994-05-05,Peru,South America,Away,Honduras,North America,1,2,Frendly,Lose
1994-05-05,Nigeria,Africa,Home,Sweden,Europe,1,3,Frendly,Lose
1994-05-05,Sweden,Europe,Away,Nigeria,Africa,3,1,Frendly,Win
1994-05-07,Estonia,Europe,Home,USA,North America,0,4,Frendly,Lose
1994-05-07,USA,North America,Away,Estonia,Europe,4,0,Frendly,Win
1994-05-09,Greece,Europe,Home,Cameroon,Africa,0,3,Frendly,Lose
1994-05-09,Cameroon,Africa,Away,Greece,Europe,3,0,Frendly,Win
1994-05-11,Cameroon,Africa,Home,Bolivia,South America,1,1,Frendly,Draw
1994-05-11,Bolivia,South America,Away,Cameroon,Africa,1,1,Frendly,Draw
1994-05-13,Greece,Europe,Home,Bolivia,South America,0,0,Frendly,Draw
1994-05-13,Bolivia,South America,Away,Greece,Europe,0,0,Frendly,Draw
1994-05-14,Suriname,South America,Home,Nigeria,Africa,1,2,Frendly,Lose
1994-05-14,Nigeria,Africa,Away,Suriname,South America,2,1,Frendly,Win
1994-05-17,Greece,Europe,Home,England,Europe,0,5,Frendly,Lose
1994-05-17,England,Europe,Away,Greece,Europe,5,0,Frendly,Win
1994-05-17,Austria,Europe,Home,Poland,Europe,4,3,Frendly,Win
1994-05-17,Poland,Europe,Away,Austria,Europe,3,4,Frendly,Lose
1994-05-18,Chile,South America,Home,Argentina,South America,3,3,Frendly,Draw
1994-05-18,Argentina,South America,Away,Chile,South America,3,3,Frendly,Draw
1994-05-18,Croatia,Europe,Home,Hungary,Europe,2,2,Frendly,Draw
1994-05-18,Hungary,Europe,Away,Croatia,Europe,2,2,Frendly,Draw
1994-05-19,Bolivia,South America,Home,Iceland,Europe,0,1,Frendly,Lose
1994-05-19,Iceland,Europe,Away,Bolivia,South America,1,0,Frendly,Win
1994-05-22,England,Europe,Home,Norway,Europe,0,0,Frendly,Draw
1994-05-22,Norway,Europe,Away,England,Europe,0,0,Frendly,Draw
1994-05-22,Japan,Asia,Home,Australia,Oceania,1,1,Others,Draw
1994-05-22,Australia,Oceania,Away,Japan,Asia,1,1,Others,Draw
1994-05-23,Wales,Europe,Home,Estonia,Europe,2,1,Frendly,Win
1994-05-23,Estonia,Europe,Away,Wales,Europe,1,2,Frendly,Lose
1994-05-23,Fiji,Oceania,Home,Tahiti,Oceania,2,2,Frendly,Draw
1994-05-23,Tahiti,Oceania,Away,Fiji,Oceania,2,2,Frendly,Draw
1994-05-24,Republic of Ireland,Europe,Home,Bolivia,South America,1,0,Frendly,Win
1994-05-24,Bolivia,South America,Away,Republic of Ireland,Europe,0,1,Frendly,Lose
1994-05-25,Chile,South America,Home,Peru,South America,2,1,Frendly,Win
1994-05-25,Peru,South America,Away,Chile,South America,1,2,Frendly,Lose
1994-05-25,Lithuania,Europe,Home,Czech Republic,Europe,3,5,Frendly,Lose
1994-05-25,Czech Republic,Europe,Away,Lithuania,Europe,5,3,Frendly,Win
1994-05-25,Ecuador,South America,Home,Argentina,South America,1,0,Frendly,Win
1994-05-25,Argentina,South America,Away,Ecuador,South America,0,1,Frendly,Lose
1994-05-25,Tahiti,Oceania,Home,Fiji,Oceania,0,2,Frendly,Lose
1994-05-25,Fiji,Oceania,Away,Tahiti,Oceania,2,0,Frendly,Win
1994-05-25,Ukraine,Europe,Home,Belarus,Europe,3,1,Frendly,Win
1994-05-25,Belarus,Europe,Away,Ukraine,Europe,1,3,Frendly,Lose
1994-05-25,Saudi Arabia,Asia,Home,USA,North America,0,0,Frendly,Draw
1994-05-25,USA,North America,Away,Saudi Arabia,Asia,0,0,Frendly,Draw
1994-05-26,Australia,Oceania,Home,France,Europe,0,1,Others,Lose
1994-05-26,France,Europe,Away,Australia,Oceania,1,0,Others,Win
1994-05-26,Denmark,Europe,Home,Sweden,Europe,1,0,Frendly,Win
1994-05-26,Sweden,Europe,Away,Denmark,Europe,0,1,Frendly,Lose
1994-05-27,Italy,Europe,Home,Finland,Europe,2,0,Frendly,Win
1994-05-27,Finland,Europe,Away,Italy,Europe,0,2,Frendly,Lose
